age,job,marital,education,default credit,balance,housing,loan,contact,duration,poutcome,Result
55,blue-collar,divorced,primary,no,410,no,yes,cellular,221,unknown,no
58,retired,married,primary,no,3401,yes,no,cellular,84,failure,no
46,blue-collar,married,primary,no,222,no,no,cellular,71,unknown,no
55,blue-collar,married,secondary,no,989,yes,yes,unknown,246,unknown,no
34,management,married,tertiary,no,415,no,yes,cellular,361,unknown,no
28,unemployed,single,secondary,no,16,no,no,cellular,119,unknown,no
42,technician,divorced,tertiary,no,7190,yes,no,cellular,375,unknown,no
29,blue-collar,single,secondary,no,482,no,yes,cellular,1097,unknown,yes
54,housemaid,married,secondary,no,209,yes,yes,cellular,97,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,181,unknown,no
39,technician,single,tertiary,no,5803,no,no,cellular,83,unknown,no
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,180,unknown,no
58,technician,married,tertiary,no,883,no,no,cellular,543,failure,no
40,self-employed,married,secondary,no,1516,yes,yes,unknown,373,unknown,no
29,student,single,secondary,no,872,yes,no,unknown,230,unknown,no
33,technician,married,tertiary,no,-988,yes,yes,cellular,83,unknown,no
38,admin.,single,secondary,no,902,yes,no,telephone,58,unknown,no
56,services,divorced,secondary,no,1007,no,no,cellular,88,unknown,no
40,services,married,secondary,no,0,yes,no,cellular,297,failure,no
24,blue-collar,single,secondary,no,174,yes,yes,cellular,487,unknown,yes
46,management,married,secondary,no,12186,no,no,unknown,29,unknown,no
35,self-employed,married,secondary,no,524,yes,no,cellular,484,unknown,no
35,blue-collar,single,tertiary,no,0,yes,no,cellular,262,unknown,no
34,technician,married,secondary,no,4,yes,no,unknown,644,unknown,no
35,housemaid,married,tertiary,no,11219,no,no,cellular,699,failure,no
38,technician,single,tertiary,no,0,no,no,cellular,247,unknown,no
50,blue-collar,married,primary,no,5776,no,no,cellular,49,unknown,no
51,blue-collar,divorced,primary,no,37,yes,no,cellular,341,unknown,no
59,self-employed,married,tertiary,no,593,no,no,unknown,64,unknown,no
32,blue-collar,married,secondary,no,1148,yes,no,cellular,121,unknown,no
37,blue-collar,single,secondary,no,3561,yes,no,unknown,98,unknown,no
42,admin.,divorced,secondary,no,63,no,no,unknown,88,unknown,no
40,student,married,secondary,no,260,no,no,unknown,197,unknown,no
28,technician,single,tertiary,no,2269,yes,no,unknown,331,unknown,no
47,admin.,married,secondary,no,1060,yes,no,unknown,83,unknown,no
27,self-employed,married,secondary,no,-220,yes,no,unknown,138,unknown,no
41,management,married,tertiary,no,49,yes,no,cellular,312,unknown,no
34,admin.,married,tertiary,no,69,no,yes,cellular,120,success,yes
50,blue-collar,married,primary,no,4108,yes,no,cellular,526,unknown,yes
47,blue-collar,married,secondary,no,480,yes,no,unknown,211,unknown,no
53,services,married,secondary,no,4994,no,no,cellular,62,unknown,no
53,technician,divorced,secondary,no,0,yes,yes,cellular,135,unknown,no
47,management,married,tertiary,no,3681,no,no,cellular,101,unknown,no
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,988,unknown,yes
29,management,married,tertiary,no,451,no,no,cellular,451,unknown,no
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,1030,unknown,yes
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,1484,unknown,yes
32,blue-collar,married,secondary,no,759,yes,no,cellular,317,unknown,yes
70,retired,divorced,primary,no,4531,no,no,cellular,445,unknown,no
65,retired,divorced,primary,no,1840,no,no,cellular,383,failure,no
56,blue-collar,married,secondary,no,345,yes,no,telephone,605,unknown,no
35,blue-collar,married,secondary,no,1287,yes,no,cellular,330,unknown,no
56,management,married,unknown,no,353,no,yes,cellular,171,unknown,no
56,technician,married,secondary,no,205,no,yes,cellular,442,unknown,no
49,entrepreneur,married,secondary,no,687,yes,no,cellular,772,unknown,yes
38,unemployed,married,primary,no,1147,yes,yes,unknown,249,unknown,no
35,management,married,tertiary,no,4286,yes,no,unknown,357,unknown,no
38,admin.,married,tertiary,no,605,no,no,cellular,147,unknown,no
49,blue-collar,married,secondary,no,8545,yes,yes,cellular,199,failure,no
55,management,married,unknown,no,559,no,no,cellular,271,unknown,no
43,blue-collar,single,primary,no,2,yes,no,cellular,783,unknown,no
43,management,married,tertiary,no,2,no,yes,cellular,472,unknown,no
25,admin.,single,tertiary,no,760,yes,no,cellular,223,failure,yes
30,blue-collar,married,primary,no,1317,yes,no,unknown,395,unknown,no
46,blue-collar,married,secondary,no,182,no,no,cellular,56,unknown,no
50,admin.,married,primary,no,276,no,yes,unknown,641,unknown,no
35,entrepreneur,married,secondary,no,2971,no,no,cellular,429,failure,yes
26,unemployed,single,secondary,no,1064,no,no,unknown,113,unknown,no
45,admin.,married,unknown,no,1783,no,no,unknown,11,unknown,no
37,blue-collar,married,secondary,no,-67,no,no,cellular,157,unknown,no
60,self-employed,single,tertiary,no,179,no,yes,cellular,79,unknown,no
38,management,married,tertiary,no,1199,no,no,cellular,178,success,yes
47,blue-collar,married,primary,no,214,yes,yes,unknown,168,unknown,no
33,technician,married,secondary,no,6699,no,no,cellular,425,failure,no
51,unemployed,married,secondary,no,1760,no,yes,cellular,162,unknown,no
35,entrepreneur,single,tertiary,no,145,yes,no,cellular,799,unknown,yes
35,unemployed,married,secondary,no,978,no,no,cellular,1370,success,yes
48,admin.,single,secondary,no,1150,yes,no,unknown,357,unknown,no
37,admin.,married,secondary,no,121,no,no,cellular,22,unknown,no
29,technician,single,tertiary,no,828,yes,no,cellular,215,other,no
34,admin.,married,secondary,no,244,yes,no,cellular,56,unknown,no
32,services,married,primary,no,228,yes,no,cellular,1017,unknown,yes
30,management,single,tertiary,no,424,no,no,cellular,298,unknown,yes
47,management,divorced,tertiary,no,447,no,yes,unknown,126,unknown,no
33,blue-collar,married,primary,no,-195,no,no,unknown,9,unknown,no
33,management,single,tertiary,no,1410,yes,no,cellular,8,failure,no
63,retired,married,primary,no,1084,no,no,cellular,201,success,no
51,self-employed,divorced,primary,no,10924,no,no,cellular,106,unknown,no
41,management,married,tertiary,no,832,yes,yes,cellular,164,failure,no
56,retired,married,tertiary,no,478,no,no,cellular,97,unknown,no
60,management,single,tertiary,no,0,no,yes,cellular,151,unknown,no
41,self-employed,single,tertiary,no,3950,yes,no,unknown,96,unknown,no
37,management,single,unknown,no,504,yes,no,cellular,555,unknown,no
36,blue-collar,single,secondary,no,219,yes,yes,cellular,270,failure,no
57,management,married,tertiary,no,1602,no,no,cellular,339,unknown,no
55,management,married,primary,no,2587,no,no,cellular,328,success,yes
44,admin.,married,secondary,no,0,yes,yes,unknown,159,unknown,no
47,self-employed,married,tertiary,no,2303,yes,no,cellular,323,failure,no
31,blue-collar,married,secondary,no,1660,yes,no,cellular,342,unknown,no
35,management,married,tertiary,yes,32,yes,no,cellular,180,unknown,no
39,management,married,tertiary,no,278,no,yes,cellular,60,unknown,no
50,management,married,tertiary,no,4,no,no,cellular,223,failure,no
29,management,married,tertiary,no,318,yes,no,cellular,1434,failure,no
30,services,single,secondary,no,209,yes,no,unknown,30,unknown,no
46,services,married,secondary,no,271,yes,no,unknown,134,unknown,no
27,management,single,unknown,no,3196,no,no,cellular,10,unknown,no
48,admin.,divorced,secondary,no,4099,no,no,cellular,397,unknown,yes
26,student,single,secondary,no,2572,yes,no,cellular,620,unknown,no
36,management,single,tertiary,no,339,no,no,cellular,6,unknown,no
42,blue-collar,married,primary,no,0,yes,yes,cellular,209,unknown,no
50,housemaid,married,primary,no,395,yes,no,unknown,419,unknown,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,283,unknown,no
45,management,married,tertiary,no,5450,no,no,cellular,188,unknown,no
23,student,single,secondary,no,780,no,no,cellular,267,unknown,no
38,technician,single,secondary,no,0,yes,no,cellular,196,unknown,no
32,management,single,tertiary,no,8436,yes,no,cellular,245,failure,no
60,technician,single,primary,no,11262,no,no,cellular,323,unknown,yes
30,entrepreneur,married,secondary,no,946,yes,no,cellular,1065,other,no
58,housemaid,married,tertiary,no,497,no,no,unknown,138,unknown,no
60,retired,married,primary,no,55,no,no,cellular,207,unknown,no
38,services,married,secondary,no,-140,no,no,unknown,456,unknown,no
51,technician,married,secondary,no,-379,yes,no,cellular,261,unknown,no
42,admin.,married,secondary,no,-396,yes,no,cellular,80,failure,no
30,services,single,secondary,no,0,yes,no,cellular,131,failure,no
40,management,married,primary,no,733,yes,no,unknown,94,unknown,no
37,management,married,tertiary,no,393,yes,no,cellular,567,failure,yes
53,technician,divorced,primary,no,7290,yes,no,unknown,153,unknown,no
27,services,single,secondary,no,468,yes,no,cellular,109,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,53,failure,no
39,blue-collar,married,primary,no,3705,yes,no,unknown,77,unknown,no
59,retired,married,tertiary,no,9676,no,no,telephone,234,unknown,yes
37,services,married,secondary,no,1328,yes,no,telephone,121,failure,no
41,blue-collar,married,primary,no,8,yes,no,cellular,155,unknown,no
45,blue-collar,married,primary,no,61,no,no,cellular,108,unknown,no
48,management,married,tertiary,no,6613,no,no,unknown,159,unknown,no
48,technician,married,secondary,no,302,yes,no,unknown,208,unknown,no
32,blue-collar,married,secondary,no,1005,no,no,cellular,215,unknown,no
35,services,married,secondary,no,109,yes,no,unknown,597,unknown,no
33,management,single,tertiary,no,1240,yes,no,cellular,505,other,no
28,blue-collar,single,primary,no,0,yes,yes,unknown,380,unknown,no
64,retired,married,unknown,no,2923,no,no,cellular,120,unknown,no
35,technician,married,secondary,no,0,no,no,cellular,106,unknown,no
33,blue-collar,married,secondary,no,43,yes,no,cellular,332,failure,no
41,technician,married,secondary,no,288,yes,no,unknown,221,unknown,no
34,admin.,married,secondary,no,613,yes,no,cellular,80,unknown,no
37,technician,single,tertiary,no,6101,no,no,cellular,60,success,no
38,blue-collar,married,primary,no,168,yes,yes,telephone,212,unknown,no
39,blue-collar,married,primary,no,7685,yes,no,cellular,493,unknown,no
35,technician,divorced,tertiary,no,4515,yes,no,cellular,98,unknown,no
28,blue-collar,single,secondary,no,517,no,yes,cellular,681,unknown,yes
27,blue-collar,single,secondary,no,148,no,no,cellular,203,unknown,no
48,retired,married,primary,yes,-285,no,yes,cellular,157,unknown,no
50,blue-collar,married,secondary,no,887,no,no,unknown,287,unknown,no
45,self-employed,married,secondary,no,3098,yes,no,cellular,159,unknown,no
41,technician,married,tertiary,no,744,yes,no,unknown,125,unknown,no
39,technician,married,secondary,no,130,no,no,cellular,202,unknown,no
44,management,married,secondary,no,438,yes,no,telephone,37,failure,no
54,admin.,married,secondary,no,0,no,no,cellular,161,failure,yes
49,management,married,tertiary,no,322,no,no,cellular,72,unknown,no
34,blue-collar,single,secondary,no,186,no,no,cellular,342,unknown,no
75,retired,divorced,tertiary,no,3810,yes,no,cellular,262,failure,yes
42,management,married,tertiary,no,0,no,no,cellular,325,unknown,no
53,blue-collar,married,secondary,no,4380,no,no,telephone,223,unknown,no
49,management,divorced,tertiary,no,755,no,no,cellular,1212,unknown,yes
31,services,single,secondary,no,2070,no,no,cellular,319,unknown,no
45,blue-collar,single,primary,no,999,no,no,cellular,182,unknown,no
39,self-employed,married,secondary,no,167,yes,yes,cellular,330,unknown,no
46,technician,married,secondary,no,1322,yes,yes,cellular,514,unknown,no
