age,job,marital,education,default credit,balance,housing,loan,contact,duration,poutcome,y
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,174,unknown,no
38,management,single,tertiary,no,424,yes,no,unknown,104,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,13,unknown,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,185,unknown,no
46,services,married,primary,no,179,yes,no,unknown,1778,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,138,unknown,no
53,technician,divorced,secondary,no,989,yes,no,unknown,812,unknown,no
57,blue-collar,married,primary,no,249,yes,no,unknown,164,unknown,no
33,services,married,secondary,no,790,yes,no,unknown,391,unknown,no
49,blue-collar,married,unknown,no,154,yes,no,unknown,357,unknown,no
51,management,married,tertiary,no,6530,yes,no,unknown,91,unknown,no
60,retired,married,tertiary,no,100,no,no,unknown,528,unknown,no
59,management,divorced,tertiary,no,59,yes,no,unknown,273,unknown,no
55,technician,married,secondary,no,1205,yes,no,unknown,158,unknown,no
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,177,unknown,no
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,258,unknown,no
31,services,married,secondary,no,25,yes,yes,unknown,172,unknown,no
54,management,married,secondary,no,282,yes,yes,unknown,154,unknown,no
55,blue-collar,married,primary,no,23,yes,no,unknown,291,unknown,no
43,technician,married,secondary,no,1937,yes,no,unknown,181,unknown,no
53,technician,married,secondary,no,384,yes,no,unknown,176,unknown,no
44,blue-collar,married,secondary,no,582,no,yes,unknown,211,unknown,no
55,services,divorced,secondary,no,91,no,no,unknown,349,unknown,no
49,services,divorced,secondary,no,0,yes,yes,unknown,272,unknown,no
55,services,divorced,secondary,yes,1,yes,no,unknown,208,unknown,no
45,admin.,single,secondary,no,206,yes,no,unknown,193,unknown,no
47,services,divorced,secondary,no,164,no,no,unknown,212,unknown,no
42,technician,single,secondary,no,690,yes,no,unknown,20,unknown,no
59,admin.,married,secondary,no,2343,yes,no,unknown,1042,unknown,yes
46,self-employed,married,tertiary,no,137,yes,yes,unknown,246,unknown,no
51,blue-collar,married,primary,no,173,yes,no,unknown,529,unknown,no
56,admin.,married,secondary,no,45,no,no,unknown,1467,unknown,yes
41,technician,married,secondary,no,1270,yes,no,unknown,1389,unknown,yes
46,management,divorced,secondary,no,16,yes,yes,unknown,188,unknown,no
57,retired,married,secondary,no,486,yes,no,unknown,180,unknown,no
42,management,single,secondary,no,50,no,no,unknown,48,unknown,no
30,technician,married,secondary,no,152,yes,yes,unknown,213,unknown,no
60,admin.,married,secondary,no,290,yes,no,unknown,583,unknown,no
60,blue-collar,married,unknown,no,54,yes,no,unknown,221,unknown,no
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,173,unknown,no
36,management,married,tertiary,no,101,yes,yes,unknown,426,unknown,no
55,blue-collar,married,secondary,no,383,no,no,unknown,287,unknown,no
60,retired,married,tertiary,no,81,yes,no,unknown,101,unknown,no
39,technician,married,secondary,no,0,yes,no,unknown,203,unknown,no
46,management,married,tertiary,no,229,yes,no,unknown,197,unknown,no
44,blue-collar,married,secondary,no,-674,yes,no,unknown,257,unknown,no
53,blue-collar,married,primary,no,90,no,no,unknown,124,unknown,no
52,blue-collar,married,primary,no,128,yes,no,unknown,229,unknown,no
59,blue-collar,married,primary,no,179,yes,no,unknown,55,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,400,unknown,no
44,blue-collar,married,secondary,no,54,yes,no,unknown,197,unknown,no
47,technician,married,tertiary,no,151,yes,no,unknown,190,unknown,no
34,admin.,married,secondary,no,61,no,yes,unknown,21,unknown,no
59,retired,single,secondary,no,30,yes,no,unknown,514,unknown,no
45,management,married,tertiary,no,523,yes,no,unknown,849,unknown,no
29,services,divorced,secondary,no,31,yes,no,unknown,194,unknown,no
46,technician,divorced,secondary,no,79,no,no,unknown,144,unknown,no
56,self-employed,married,primary,no,-34,yes,yes,unknown,212,unknown,no
36,blue-collar,married,primary,no,448,yes,no,unknown,286,unknown,no
59,retired,divorced,primary,no,81,yes,no,unknown,107,unknown,no
44,blue-collar,married,secondary,no,144,yes,no,unknown,247,unknown,no
41,admin.,married,secondary,no,351,yes,no,unknown,518,unknown,no
33,management,single,tertiary,no,-67,yes,no,unknown,364,unknown,no
59,management,divorced,tertiary,no,262,no,no,unknown,178,unknown,no
57,technician,married,primary,no,0,no,no,unknown,98,unknown,no
56,technician,divorced,unknown,no,56,yes,no,unknown,439,unknown,no
51,blue-collar,married,secondary,no,26,yes,no,unknown,79,unknown,no
34,admin.,married,unknown,no,3,yes,no,unknown,120,unknown,no
43,services,married,secondary,no,41,yes,yes,unknown,127,unknown,no
52,technician,married,tertiary,no,7,no,yes,unknown,175,unknown,no
33,technician,single,secondary,no,105,yes,no,unknown,262,unknown,no
29,admin.,single,secondary,no,818,yes,yes,unknown,61,unknown,no
34,services,married,secondary,no,-16,yes,yes,unknown,78,unknown,no
31,blue-collar,married,secondary,no,0,yes,no,unknown,143,unknown,no
55,services,married,secondary,no,2476,yes,no,unknown,579,unknown,yes
55,management,married,unknown,no,1185,no,no,unknown,677,unknown,no
32,admin.,single,secondary,no,217,yes,no,unknown,345,unknown,no
38,technician,single,secondary,no,1685,yes,no,unknown,185,unknown,no
55,admin.,single,secondary,no,802,yes,yes,unknown,100,unknown,no
28,unemployed,single,tertiary,no,0,yes,no,unknown,125,unknown,no
23,blue-collar,married,secondary,no,94,yes,no,unknown,193,unknown,no
32,technician,single,secondary,no,0,yes,no,unknown,136,unknown,no
43,services,single,unknown,no,0,no,no,unknown,73,unknown,no
32,blue-collar,married,secondary,no,517,yes,no,unknown,528,unknown,no
46,blue-collar,married,secondary,no,265,yes,no,unknown,541,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,unknown,163,unknown,no
34,self-employed,single,secondary,no,3,yes,no,unknown,301,unknown,no
57,unemployed,married,tertiary,no,42,no,no,unknown,46,unknown,no
37,blue-collar,married,secondary,no,37,yes,no,unknown,204,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,unknown,98,unknown,no
33,services,married,secondary,no,22,yes,no,unknown,71,unknown,no
56,blue-collar,divorced,primary,no,8,yes,no,unknown,157,unknown,no
48,unemployed,married,secondary,no,293,yes,no,unknown,243,unknown,no
43,services,married,primary,no,3,yes,no,unknown,186,unknown,no
54,blue-collar,married,primary,no,348,yes,no,unknown,579,unknown,no
51,blue-collar,married,unknown,no,-19,yes,no,unknown,163,unknown,no
26,student,single,secondary,no,0,yes,no,unknown,610,unknown,no
40,management,married,tertiary,no,-4,yes,no,unknown,2033,unknown,no
39,management,married,secondary,no,18,yes,no,unknown,85,unknown,no
50,technician,married,primary,no,139,no,no,unknown,114,unknown,no
41,services,married,secondary,no,0,yes,no,unknown,114,unknown,no
51,blue-collar,married,unknown,no,1883,yes,no,unknown,57,unknown,no
60,retired,divorced,secondary,no,216,yes,no,unknown,238,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,unknown,93,unknown,no
48,blue-collar,married,secondary,no,904,yes,no,unknown,128,unknown,no
48,services,married,unknown,no,1705,yes,no,unknown,107,unknown,no
39,technician,single,tertiary,no,47,yes,no,unknown,181,unknown,no
47,services,single,secondary,no,176,yes,no,unknown,303,unknown,no
40,blue-collar,married,secondary,no,1225,yes,no,unknown,558,unknown,no
45,technician,married,secondary,no,86,yes,no,unknown,270,unknown,no
26,admin.,single,secondary,no,82,yes,no,unknown,228,unknown,no
52,management,married,tertiary,no,271,yes,no,unknown,99,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,240,unknown,no
54,admin.,married,tertiary,no,184,no,no,unknown,673,unknown,yes
50,blue-collar,married,primary,no,0,no,no,unknown,233,unknown,no
35,blue-collar,married,secondary,no,0,yes,no,unknown,1056,unknown,no
44,services,married,secondary,no,1357,yes,yes,unknown,250,unknown,no
53,entrepreneur,married,unknown,no,19,yes,no,unknown,252,unknown,no
35,retired,single,primary,no,434,no,no,unknown,138,unknown,no
60,admin.,divorced,secondary,no,92,yes,no,unknown,130,unknown,no
53,admin.,divorced,secondary,no,1151,yes,no,unknown,412,unknown,no
48,unemployed,married,secondary,no,41,yes,no,unknown,179,unknown,no
34,technician,married,secondary,no,51,yes,no,unknown,19,unknown,no
54,services,married,secondary,no,214,yes,no,unknown,458,unknown,no
51,management,married,secondary,no,1161,yes,no,unknown,717,unknown,no
31,services,married,tertiary,no,37,yes,no,unknown,313,unknown,no
35,technician,divorced,secondary,no,787,yes,no,unknown,683,unknown,no
35,services,married,secondary,no,59,yes,no,unknown,1077,unknown,no
38,technician,married,secondary,no,253,yes,no,unknown,416,unknown,no
36,admin.,married,tertiary,no,211,yes,no,unknown,146,unknown,no
58,retired,married,primary,no,235,yes,no,unknown,167,unknown,no
40,services,divorced,unknown,no,4384,yes,no,unknown,315,unknown,no
54,management,married,secondary,no,4080,no,no,unknown,140,unknown,no
34,blue-collar,single,secondary,no,53,yes,yes,unknown,346,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,562,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,172,unknown,no
33,management,married,tertiary,no,377,yes,no,unknown,217,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,142,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,67,unknown,no
34,blue-collar,married,secondary,no,243,yes,no,unknown,291,unknown,no
33,blue-collar,single,secondary,no,307,yes,no,unknown,309,unknown,no
38,services,married,secondary,no,155,yes,no,unknown,248,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,unknown,98,unknown,no
43,management,married,tertiary,no,400,yes,no,unknown,256,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,82,unknown,no
47,admin.,married,secondary,no,219,yes,no,unknown,577,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,286,unknown,no
44,blue-collar,married,secondary,no,575,yes,no,unknown,477,unknown,no
35,student,single,unknown,no,298,yes,no,unknown,611,unknown,no
35,services,married,secondary,no,0,yes,no,unknown,471,unknown,no
50,services,married,secondary,no,5699,yes,no,unknown,381,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,42,unknown,no
41,management,married,tertiary,no,517,yes,no,unknown,251,unknown,no
39,services,single,unknown,no,257,yes,no,unknown,408,unknown,no
42,retired,married,secondary,no,56,yes,no,unknown,215,unknown,no
38,blue-collar,married,secondary,no,-390,yes,no,unknown,287,unknown,no
53,retired,married,secondary,no,330,yes,no,unknown,216,unknown,no
59,housemaid,divorced,primary,no,195,no,no,unknown,366,unknown,no
36,services,married,secondary,no,301,yes,no,unknown,210,unknown,no
54,blue-collar,married,primary,no,-41,yes,no,unknown,288,unknown,no
40,technician,married,tertiary,no,483,yes,no,unknown,168,unknown,no
47,unknown,married,unknown,no,28,no,no,unknown,338,unknown,no
53,unemployed,married,unknown,no,13,no,no,unknown,410,unknown,no
46,housemaid,married,primary,no,965,no,no,unknown,177,unknown,no
39,management,married,tertiary,no,378,yes,yes,unknown,127,unknown,no
40,unemployed,married,secondary,no,219,yes,no,unknown,357,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,175,unknown,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,300,unknown,no
55,retired,married,secondary,no,0,no,yes,unknown,136,unknown,no
43,technician,divorced,unknown,no,205,yes,no,unknown,1419,unknown,no
48,blue-collar,married,primary,no,278,yes,no,unknown,125,unknown,no
58,management,married,unknown,no,1065,yes,no,unknown,213,unknown,no
33,management,single,tertiary,no,34,yes,no,unknown,27,unknown,no
36,blue-collar,married,unknown,no,1033,no,no,unknown,238,unknown,no
53,services,divorced,secondary,no,1467,yes,no,unknown,124,unknown,no
47,blue-collar,married,primary,no,-12,yes,no,unknown,18,unknown,no
31,services,married,secondary,no,388,yes,no,unknown,730,unknown,no
57,entrepreneur,married,secondary,no,294,yes,no,unknown,746,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,unknown,121,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,247,unknown,no
45,blue-collar,married,primary,no,25,yes,no,unknown,40,unknown,no
53,admin.,divorced,secondary,no,315,yes,no,unknown,181,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,79,unknown,no
44,admin.,divorced,secondary,no,66,yes,no,unknown,206,unknown,no
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,389,unknown,no
46,technician,married,secondary,no,349,yes,yes,unknown,127,unknown,no
43,entrepreneur,married,unknown,no,100,yes,no,unknown,702,unknown,no
38,admin.,married,secondary,no,0,no,no,unknown,151,unknown,no
43,technician,married,secondary,no,434,yes,no,unknown,117,unknown,no
49,management,married,tertiary,no,3237,yes,no,unknown,232,unknown,no
42,management,married,unknown,no,275,no,no,unknown,408,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,unknown,179,unknown,no
40,management,married,tertiary,no,207,yes,no,unknown,39,unknown,no
39,blue-collar,married,secondary,no,483,yes,no,unknown,282,unknown,no
51,services,married,secondary,no,2248,yes,no,unknown,714,unknown,no
49,admin.,married,secondary,no,428,yes,no,unknown,50,unknown,no
53,blue-collar,married,secondary,no,0,yes,yes,unknown,181,unknown,no
34,services,single,secondary,no,0,yes,no,unknown,142,unknown,no
33,technician,divorced,secondary,no,140,yes,no,unknown,227,unknown,no
50,management,single,tertiary,no,297,yes,no,unknown,119,unknown,no
39,blue-collar,married,primary,no,279,yes,no,unknown,361,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,73,unknown,no
30,technician,single,secondary,no,2573,yes,no,unknown,67,unknown,no
36,services,married,secondary,no,143,yes,yes,unknown,350,unknown,no
40,blue-collar,married,secondary,no,475,yes,no,unknown,332,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,unknown,611,unknown,no
34,management,single,tertiary,no,318,yes,no,unknown,113,unknown,no
37,technician,married,secondary,no,275,yes,no,unknown,132,unknown,no
42,management,divorced,tertiary,no,742,yes,no,unknown,58,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,unknown,151,unknown,no
30,student,single,tertiary,no,25,yes,no,unknown,89,unknown,no
37,management,single,tertiary,no,600,yes,no,unknown,152,unknown,no
39,admin.,divorced,secondary,no,-349,yes,no,unknown,611,unknown,no
41,blue-collar,married,primary,no,183,yes,yes,unknown,110,unknown,no
40,blue-collar,married,primary,no,0,yes,no,unknown,463,unknown,no
42,management,single,tertiary,no,0,yes,yes,unknown,562,unknown,yes
40,blue-collar,divorced,primary,no,0,yes,no,unknown,962,unknown,no
57,technician,married,secondary,no,1078,yes,no,unknown,10,unknown,no
56,entrepreneur,divorced,secondary,no,155,no,no,unknown,118,unknown,no
37,admin.,married,secondary,no,190,yes,no,unknown,92,unknown,no
59,retired,married,secondary,no,319,yes,no,unknown,143,unknown,no
39,services,divorced,secondary,no,-185,yes,no,unknown,189,unknown,no
49,services,married,secondary,no,47,no,no,unknown,234,unknown,no
38,services,single,secondary,no,570,yes,no,unknown,75,unknown,no
36,self-employed,married,tertiary,no,19,no,no,unknown,189,unknown,no
50,blue-collar,married,primary,no,61,yes,no,unknown,621,unknown,no
41,admin.,married,secondary,no,-62,yes,yes,unknown,55,unknown,no
54,technician,married,tertiary,no,258,no,no,unknown,310,unknown,no
58,blue-collar,married,primary,no,76,yes,no,unknown,156,unknown,no
30,blue-collar,single,secondary,no,0,yes,no,unknown,5,unknown,no
33,admin.,single,secondary,no,352,yes,no,unknown,225,unknown,no
47,admin.,married,secondary,no,368,yes,no,unknown,125,unknown,no
50,technician,single,tertiary,no,339,yes,no,unknown,2,unknown,no
32,blue-collar,married,secondary,no,1331,yes,no,unknown,286,unknown,no
40,self-employed,married,secondary,no,672,yes,no,unknown,164,unknown,no
37,management,married,tertiary,no,58,yes,no,unknown,98,unknown,no
54,technician,single,unknown,no,447,yes,no,unknown,742,unknown,no
24,student,single,secondary,no,423,yes,no,unknown,226,unknown,no
54,management,married,tertiary,no,0,no,no,unknown,120,unknown,no
34,technician,married,secondary,no,19,yes,no,unknown,362,unknown,no
56,technician,divorced,primary,no,13,yes,no,unknown,357,unknown,no
31,blue-collar,single,secondary,no,3,yes,no,unknown,200,unknown,no
24,student,single,secondary,no,82,yes,no,unknown,204,unknown,no
42,blue-collar,divorced,primary,no,28,yes,no,unknown,126,unknown,no
57,technician,married,secondary,no,792,yes,no,unknown,65,unknown,no
42,blue-collar,married,unknown,no,408,yes,no,unknown,107,unknown,no
51,admin.,married,secondary,no,531,yes,no,unknown,267,unknown,no
57,retired,married,secondary,no,211,yes,no,unknown,248,unknown,no
36,services,single,secondary,no,62,yes,no,unknown,215,unknown,no
53,services,married,unknown,no,257,yes,no,unknown,209,unknown,no
50,technician,married,secondary,no,1234,yes,no,unknown,205,unknown,no
54,management,married,tertiary,no,313,yes,no,unknown,83,unknown,no
55,blue-collar,married,secondary,no,89,yes,no,unknown,106,unknown,no
44,blue-collar,married,secondary,no,129,yes,yes,unknown,189,unknown,no
43,management,married,unknown,no,0,yes,no,unknown,105,unknown,no
56,admin.,married,secondary,no,353,yes,no,unknown,106,unknown,no
54,technician,married,unknown,no,851,yes,no,unknown,108,unknown,no
55,services,divorced,primary,no,96,yes,yes,unknown,311,unknown,no
37,services,divorced,secondary,no,398,yes,yes,unknown,214,unknown,no
33,admin.,single,tertiary,no,193,no,no,unknown,132,unknown,no
46,admin.,married,secondary,no,-358,yes,no,unknown,358,unknown,no
36,blue-collar,married,secondary,no,539,yes,yes,unknown,453,unknown,no
51,technician,single,secondary,no,0,yes,no,unknown,364,unknown,no
40,retired,single,primary,no,0,no,no,unknown,136,unknown,no
42,blue-collar,married,secondary,no,490,yes,no,unknown,386,unknown,no
51,blue-collar,married,secondary,no,0,yes,no,unknown,173,unknown,no
49,blue-collar,married,unknown,no,403,yes,no,unknown,241,unknown,no
48,management,married,secondary,no,161,yes,no,unknown,224,unknown,no
32,technician,divorced,tertiary,no,2558,no,no,unknown,148,unknown,no
31,admin.,single,secondary,no,98,yes,no,unknown,196,unknown,no
55,management,single,tertiary,no,115,no,no,unknown,111,unknown,no
40,blue-collar,single,secondary,no,436,yes,no,unknown,231,unknown,no
47,technician,married,tertiary,no,831,yes,no,unknown,316,unknown,no
57,technician,married,unknown,no,206,yes,no,unknown,216,unknown,no
41,blue-collar,married,secondary,no,290,yes,no,unknown,240,unknown,no
48,blue-collar,married,secondary,no,1,no,no,unknown,669,unknown,no
42,blue-collar,married,unknown,no,57,yes,no,unknown,425,unknown,no
30,blue-collar,single,secondary,no,-457,yes,no,unknown,143,unknown,no
58,management,single,tertiary,no,1387,yes,no,unknown,174,unknown,no
45,management,divorced,tertiary,no,24598,yes,no,unknown,313,unknown,no
49,blue-collar,married,secondary,no,30,yes,no,unknown,135,unknown,no
42,admin.,single,secondary,no,1022,yes,no,unknown,146,unknown,no
53,technician,married,secondary,no,56,yes,yes,unknown,152,unknown,no
51,admin.,single,secondary,yes,-2,no,no,unknown,402,unknown,no
32,services,single,secondary,no,121,yes,no,unknown,213,unknown,no
41,blue-collar,single,secondary,no,842,yes,no,unknown,144,unknown,no
43,management,divorced,secondary,no,693,yes,no,unknown,124,unknown,no
40,blue-collar,divorced,secondary,no,-333,yes,no,unknown,183,unknown,no
50,blue-collar,married,primary,no,1533,yes,no,unknown,325,unknown,no
34,management,married,tertiary,no,46,yes,no,unknown,39,unknown,no
53,services,married,unknown,no,18,no,no,unknown,503,unknown,no
45,technician,married,secondary,no,44,yes,no,unknown,95,unknown,no
39,blue-collar,married,primary,no,-100,yes,no,unknown,680,unknown,no
44,services,married,tertiary,no,510,yes,no,unknown,421,unknown,no
55,management,married,tertiary,no,685,yes,no,unknown,174,unknown,no
46,management,single,tertiary,no,187,yes,no,unknown,113,unknown,no
45,blue-collar,married,secondary,no,66,yes,no,unknown,808,unknown,no
34,admin.,married,secondary,no,560,yes,no,unknown,198,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,unknown,195,unknown,no
59,unknown,divorced,unknown,no,27,no,no,unknown,347,unknown,no
31,admin.,single,secondary,no,12,yes,no,unknown,208,unknown,no
44,blue-collar,single,secondary,no,34,yes,no,unknown,404,unknown,no
33,entrepreneur,single,tertiary,no,1068,yes,no,unknown,396,unknown,no
40,blue-collar,married,secondary,no,211,yes,no,unknown,216,unknown,no
46,admin.,single,tertiary,no,377,yes,no,unknown,98,unknown,no
48,management,married,tertiary,no,263,yes,no,unknown,350,unknown,no
42,services,married,secondary,no,1263,yes,no,unknown,114,unknown,no
27,services,married,secondary,no,8,yes,no,unknown,88,unknown,no
48,admin.,married,secondary,no,126,yes,yes,unknown,379,unknown,no
59,admin.,married,secondary,no,230,yes,no,unknown,190,unknown,no
46,technician,married,tertiary,no,841,yes,no,unknown,158,unknown,no
38,admin.,divorced,secondary,no,308,yes,no,unknown,102,unknown,no
43,management,divorced,tertiary,no,1,yes,no,unknown,306,unknown,no
38,admin.,divorced,tertiary,no,86,yes,no,unknown,218,unknown,no
23,student,single,secondary,no,157,yes,no,unknown,54,unknown,no
34,services,married,secondary,no,22,yes,no,unknown,344,unknown,no
38,admin.,married,secondary,no,46,yes,yes,unknown,195,unknown,no
37,blue-collar,married,secondary,no,1293,no,no,unknown,652,unknown,no
25,admin.,single,secondary,no,122,yes,no,unknown,286,unknown,no
48,blue-collar,married,unknown,no,131,yes,no,unknown,189,unknown,no
49,blue-collar,single,secondary,no,143,yes,no,unknown,83,unknown,no
38,admin.,single,secondary,no,393,no,no,unknown,184,unknown,no
43,blue-collar,married,primary,no,98,yes,no,unknown,235,unknown,no
33,management,married,tertiary,no,0,yes,no,unknown,290,unknown,no
55,blue-collar,married,secondary,no,224,yes,no,unknown,232,unknown,no
38,blue-collar,married,secondary,no,757,yes,no,unknown,133,unknown,no
49,services,married,secondary,no,245,yes,yes,unknown,318,unknown,no
40,management,married,secondary,no,8486,no,no,unknown,260,unknown,no
43,admin.,married,unknown,no,350,no,no,unknown,437,unknown,no
38,blue-collar,married,secondary,no,20,yes,no,unknown,402,unknown,no
58,services,married,secondary,no,1667,yes,yes,unknown,85,unknown,no
57,technician,married,unknown,no,345,yes,no,unknown,125,unknown,no
32,unemployed,married,secondary,no,10,yes,no,unknown,501,unknown,no
56,management,married,tertiary,no,830,yes,yes,unknown,1201,unknown,yes
58,blue-collar,divorced,unknown,no,29,yes,no,unknown,253,unknown,no
60,retired,divorced,secondary,no,545,yes,no,unknown,1030,unknown,yes
37,technician,married,tertiary,no,8730,yes,no,unknown,149,unknown,no
46,technician,divorced,tertiary,no,477,yes,no,unknown,114,unknown,no
27,admin.,married,secondary,no,4,yes,no,unknown,243,unknown,no
43,blue-collar,married,secondary,no,1205,yes,no,unknown,769,unknown,no
32,technician,single,secondary,no,0,yes,yes,unknown,135,unknown,no
40,admin.,single,secondary,no,263,yes,no,unknown,231,unknown,no
38,admin.,married,secondary,no,1,no,no,unknown,76,unknown,no
34,blue-collar,married,secondary,no,283,no,yes,unknown,199,unknown,no
47,blue-collar,married,primary,no,206,yes,no,unknown,152,unknown,no
42,housemaid,married,primary,no,17,yes,no,unknown,124,unknown,no
48,technician,married,secondary,no,141,yes,yes,unknown,424,unknown,no
29,self-employed,single,tertiary,no,16,yes,no,unknown,43,unknown,no
50,services,married,secondary,no,206,yes,no,unknown,154,unknown,no
52,technician,married,unknown,no,7,no,no,unknown,203,unknown,no
50,management,married,tertiary,no,0,no,no,unknown,326,unknown,no
58,retired,married,tertiary,no,0,no,no,unknown,393,unknown,no
46,blue-collar,divorced,primary,no,1927,yes,no,unknown,241,unknown,no
38,technician,married,secondary,no,284,yes,no,unknown,483,unknown,no
46,blue-collar,married,secondary,no,1660,yes,no,unknown,259,unknown,no
32,services,single,secondary,no,406,yes,no,unknown,227,unknown,no
51,blue-collar,married,primary,no,230,yes,no,unknown,673,unknown,no
39,admin.,single,secondary,no,-25,yes,no,unknown,576,unknown,no
48,admin.,married,secondary,no,182,yes,no,unknown,180,unknown,no
36,entrepreneur,married,tertiary,no,1169,yes,no,unknown,168,unknown,no
34,admin.,divorced,secondary,no,67,yes,no,unknown,90,unknown,no
